Run Beam Mode DLY | iEta iPhi Imon VDrift Gain f_Ar f_CO f_CF4 | IPreAmpI IPreAmpF IPreAmpO IShaper IShaperFeed IComp MSPL Lat Thresh | Sigma_Histo Sigma_Gaus Sigma_Cont Sigma_Num | Pk1_Pos Pk1_Int Pk2_Pos Pk2_Int Pk3_Pos Pk3_Int
10 13 0 -1.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  15.00 14.55 12.60 13.15 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
11 13 0 -1.00 |  5 2 700.00 3290.70 106786.88 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  15.54 14.96 13.07 13.76 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
12 13 0 -1.00 |  5 2 690.00 3243.69 73402.58 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  16.54 15.79 14.02 14.88 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
13 13 0 -1.00 |  5 2 680.00 3196.68 50454.96 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  17.46 16.62 14.95 15.90 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
14 13 0 -1.00 |  5 2 670.00 3149.67 34681.46 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  18.10 17.23 15.65 16.59 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
15 13 0 -1.00 |  5 2 660.00 3102.66 23839.10 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  19.32 18.64 17.17 17.92 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
16 13 0 -1.00 |  5 2 650.00 3055.65 16386.39 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  20.33 19.86 18.50 19.01 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
17 13 0 -1.00 |  5 2 640.00 3008.64 11263.57 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  21.14 20.36 19.02 19.86 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
18 13 0 -1.00 |  5 2 630.00 2961.63 7742.27 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  22.32 21.61 20.35 21.12 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
19 13 0 -1.00 |  5 2 620.00 2914.62 5321.84 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  22.67 22.29 21.07 21.48 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
20 13 0 -1.00 |  5 2 610.00 2867.61 3658.09 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  24.37 24.41 23.29 23.27 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
21 13 0 -1.00 |  5 2 600.00 2820.60 2514.48 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  24.92 24.83 23.73 23.85 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
22 13 1 -1.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 -1 -1 -1.00 |  203.68 -1.00 -1.00 -1.00 |  500.50 15.00 79.50 2.00 56.50 2.00
23 13 1 -1.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  180.69 -1.00 -1.00 -1.00 |  500.50 10.00 485.50 2.00 464.50 1.00
23 13 1 20.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  15.54 -1.00 -1.00 -1.00 |  293.50 5309.00 269.50 2661.00 317.50 765.00
24 13 1 21.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  15.71 -1.00 -1.00 -1.00 |  294.50 5127.00 270.50 2961.00 318.50 669.00
25 13 1 22.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  15.64 -1.00 -1.00 -1.00 |  295.50 4938.00 271.50 3246.00 319.50 523.00
26 13 1 23.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  15.95 -1.00 -1.00 -1.00 |  296.50 4714.00 272.50 3350.00 320.50 543.00
27 13 1 24.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  15.87 -1.00 -1.00 -1.00 |  297.50 4530.00 273.50 3648.00 321.50 443.00
28 13 1 25.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  15.52 -1.00 -1.00 -1.00 |  298.50 4282.00 274.50 3953.00 322.50 353.00
29 13 1 26.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  15.60 -1.00 -1.00 -1.00 |  275.50 4166.00 299.50 4072.00 251.50 385.00
30 13 1 27.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  15.33 -1.00 -1.00 -1.00 |  276.50 4371.00 300.50 3927.00 252.50 403.00
31 13 1 28.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  15.00 -1.00 -1.00 -1.00 |  277.50 4440.00 301.50 3909.00 253.50 384.00
32 13 1 29.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  15.13 -1.00 -1.00 -1.00 |  278.50 4610.00 302.50 3750.00 254.50 409.00
33 13 1 30.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  14.90 -1.00 -1.00 -1.00 |  279.50 4643.00 303.50 3744.00 255.50 384.00
34 13 1 31.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  15.19 -1.00 -1.00 -1.00 |  280.50 4949.00 303.50 3316.00 256.50 537.00
35 13 1 32.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  14.90 -1.00 -1.00 -1.00 |  281.50 5286.00 305.50 2951.00 257.50 602.00
36 13 1 33.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  15.32 -1.00 -1.00 -1.00 |  282.50 5366.00 306.50 2750.00 258.50 743.00
37 13 1 34.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  15.00 -1.00 -1.00 -1.00 |  283.50 5563.00 307.50 2472.00 259.50 850.00
38 13 1 35.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  15.14 -1.00 -1.00 -1.00 |  284.50 5626.00 308.50 2203.00 260.50 972.00
39 13 1 36.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  15.32 -1.00 -1.00 -1.00 |  284.50 5679.00 308.50 1983.00 260.50 1129.00
40 13 1 37.00 |  5 2 -1.00 -1.00 0.00 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  15.02 -1.00 -1.00 -1.00 |  285.50 5753.00 309.50 1835.00 261.50 1267.00
40 13 1 37.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  15.02 -1.00 -1.00 -1.00 |  285.50 5753.00 309.50 1835.00 261.50 1267.00
41 13 1 38.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  15.42 -1.00 -1.00 -1.00 |  286.50 5697.00 310.50 1657.00 262.50 1459.00
42 13 1 39.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  15.14 -1.00 -1.00 -1.00 |  287.50 5816.00 311.50 1538.00 263.50 1448.00
43 13 1 40.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  15.28 -1.00 -1.00 -1.00 |  288.50 5771.00 264.50 1648.00 312.50 1454.00
44 13 1 -1.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  15.32 -1.00 -1.00 -1.00 |  289.50 5751.00 265.50 1788.00 313.50 1321.00
44 13 1 41.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  15.32 -1.00 -1.00 -1.00 |  289.50 5751.00 265.50 1788.00 313.50 1321.00
45 13 1 42.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  15.47 -1.00 -1.00 -1.00 |  291.50 5611.00 267.50 2195.00 315.50 1076.00
46 13 1 43.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  15.23 -1.00 -1.00 -1.00 |  291.50 5648.00 268.50 2213.00 316.50 951.00
47 13 1 44.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  15.49 -1.00 -1.00 -1.00 |  292.50 5522.00 268.50 2332.00 316.50 970.00
48 13 1 45.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  14.98 -1.00 -1.00 -1.00 |  293.50 5528.00 269.50 2545.00 317.50 747.00
49 13 1 46.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  15.77 -1.00 -1.00 -1.00 |  294.50 5153.00 270.50 2847.00 318.50 711.00
50 13 1 47.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  15.34 -1.00 -1.00 -1.00 |  295.50 5058.00 271.50 3127.00 319.50 576.00
51 13 1 48.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  15.44 -1.00 -1.00 -1.00 |  296.50 4914.00 272.50 3315.00 320.50 482.00
52 13 1 49.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  15.34 -1.00 -1.00 -1.00 |  297.50 4695.00 273.50 3559.00 321.50 431.00
53 13 1 50.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  15.40 -1.00 -1.00 -1.00 |  298.50 4562.00 274.50 3736.00 322.50 394.00
54 13 1 40.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  15.58 -1.00 -1.00 -1.00 |  288.50 5605.00 264.50 1920.00 312.50 1225.00
55 13 1 40.00 |  5 2 700.00 3290.70 106786.88 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  16.76 -1.00 -1.00 -1.00 |  288.50 4752.00 264.50 2906.00 312.50 771.00
56 13 1 40.00 |  5 2 690.00 3243.69 73402.58 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  17.67 -1.00 -1.00 -1.00 |  288.50 3752.00 264.50 3654.00 240.50 625.00
57 13 1 40.00 |  5 2 680.00 3196.68 50454.96 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  18.46 -1.00 -1.00 -1.00 |  264.50 3957.00 288.50 2692.00 240.50 1011.00
58 13 1 40.00 |  5 2 670.00 3149.67 34681.46 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  19.91 -1.00 -1.00 -1.00 |  264.50 3640.00 288.50 1769.00 240.50 1429.00
59 13 1 40.00 |  5 2 660.00 3102.66 23839.10 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  20.81 -1.00 -1.00 -1.00 |  264.50 2921.00 240.50 1544.00 288.50 1080.00
60 13 1 40.00 |  5 2 650.00 3055.65 16386.39 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  21.88 -1.00 -1.00 -1.00 |  264.50 2041.00 240.50 1457.00 288.50 612.00
61 13 1 40.00 |  5 2 640.00 3008.64 11263.57 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  22.49 -1.00 -1.00 -1.00 |  264.50 1303.00 240.50 1092.00 216.50 403.00
62 13 1 40.00 |  5 2 630.00 2961.63 7742.27 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  22.62 -1.00 -1.00 -1.00 |  264.50 769.00 240.50 683.00 216.50 276.00
63 13 1 40.00 |  5 2 620.00 2914.62 5321.84 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  24.73 -1.00 -1.00 -1.00 |  240.50 432.00 264.50 407.00 216.50 212.00
64 13 1 40.00 |  5 2 610.00 2867.61 3658.09 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  24.36 -1.00 -1.00 -1.00 |  240.50 280.00 264.50 239.00 216.50 150.00
65 13 1 40.00 |  5 2 600.00 2820.60 2514.48 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  25.37 -1.00 -1.00 -1.00 |  264.50 168.00 240.50 144.00 216.50 109.00
66 13 1 40.00 |  5 2 590.00 2773.59 1728.39 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  24.59 -1.00 -1.00 -1.00 |  264.50 106.00 240.50 105.00 216.50 73.00
67 13 1 40.00 |  5 2 580.00 2726.58 1188.05 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  26.88 -1.00 -1.00 -1.00 |  240.50 70.00 264.50 59.00 216.50 46.00
68 13 1 40.00 |  5 2 570.00 2679.57 816.63 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  24.45 -1.00 -1.00 -1.00 |  240.50 39.00 216.50 30.00 264.50 26.00
69 13 1 40.00 |  5 2 560.00 2632.56 561.33 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  25.35 -1.00 -1.00 -1.00 |  240.50 20.00 216.50 18.00 264.50 15.00
70 13 1 40.00 |  5 2 550.00 2585.55 385.84 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  31.42 -1.00 -1.00 -1.00 |  216.50 7.00 240.50 5.00 265.50 4.00
71 13 0 -1.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 120 1 -1 -1.00 |  15.31 14.10 12.08 13.50 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
72 13 0 -1.00 |  5 2 700.00 3290.70 106786.88 70.00 30.00 0.00 | -1 -1 -1 -1 -1 120 1 -1 -1.00 |  15.78 14.56 12.59 14.04 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
73 13 0 -1.00 |  5 2 690.00 3243.69 73402.58 70.00 30.00 0.00 | -1 -1 -1 -1 -1 120 1 -1 -1.00 |  16.48 15.53 13.72 14.82 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
74 13 0 -1.00 |  5 2 680.00 3196.68 50454.96 70.00 30.00 0.00 | -1 -1 -1 -1 -1 120 1 -1 -1.00 |  17.39 15.71 13.93 15.83 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
75 13 0 -1.00 |  5 2 670.00 3149.67 34681.46 70.00 30.00 0.00 | -1 -1 -1 -1 -1 120 1 -1 -1.00 |  19.10 17.33 15.75 17.69 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
76 13 0 -1.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 120 1 -1 -1.00 |  13.67 11.67 9.11 11.61 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
77 13 0 -1.00 |  5 2 700.00 3290.70 106786.88 70.00 30.00 0.00 | -1 -1 -1 -1 -1 120 1 -1 -1.00 |  13.95 12.53 10.19 11.94 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
78 13 0 -1.00 |  5 2 690.00 3243.69 73402.58 70.00 30.00 0.00 | -1 -1 -1 -1 -1 120 1 -1 -1.00 |  14.91 13.52 11.35 13.05 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
79 13 0 -1.00 |  5 2 680.00 3196.68 50454.96 70.00 30.00 0.00 | -1 -1 -1 -1 -1 120 1 -1 -1.00 |  15.79 14.31 12.31 14.04 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
80 13 0 -1.00 |  5 2 670.00 3149.67 34681.46 70.00 30.00 0.00 | -1 -1 -1 -1 -1 120 1 -1 -1.00 |  16.42 14.23 12.22 14.75 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
81 13 0 -1.00 |  5 2 660.00 3102.66 23839.10 70.00 30.00 0.00 | -1 -1 -1 -1 -1 120 1 -1 -1.00 |  -1.00 -1.00 -1.00 -1.00 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
82 13 1 -1.00 |  5 2 550.00 2585.55 385.84 70.00 30.00 0.00 | -1 -1 -1 -1 -1 75 1 -1 -1.00 |  23.91 -1.00 -1.00 -1.00 |  235.50 65.00 259.50 52.00 211.50 34.00
84 13 1 -1.00 |  5 2 560.00 2632.56 561.33 70.00 30.00 0.00 | -1 -1 -1 -1 -1 75 1 -1 -1.00 |  28.42 -1.00 -1.00 -1.00 |  235.50 79.00 259.50 78.00 211.50 67.00
86 13 1 -1.00 |  5 2 570.00 2679.57 816.63 70.00 30.00 0.00 | -1 -1 -1 -1 -1 75 1 -1 -1.00 |  26.05 -1.00 -1.00 -1.00 |  235.50 153.00 211.50 117.00 259.50 115.00
88 13 1 -1.00 |  5 2 580.00 2726.58 1188.05 70.00 30.00 0.00 | -1 -1 -1 -1 -1 75 1 -1 -1.00 |  24.58 -1.00 -1.00 -1.00 |  235.50 322.00 259.50 226.00 211.50 217.00
90 13 1 -1.00 |  5 2 590.00 2773.59 1728.39 70.00 30.00 0.00 | -1 -1 -1 -1 -1 75 1 -1 -1.00 |  23.26 -1.00 -1.00 -1.00 |  235.50 578.00 259.50 539.00 211.50 270.00
92 13 1 -1.00 |  5 2 600.00 2820.60 2514.48 70.00 30.00 0.00 | -1 -1 -1 -1 -1 75 1 -1 -1.00 |  22.66 -1.00 -1.00 -1.00 |  235.50 1018.00 259.50 980.00 211.50 425.00
94 13 1 -1.00 |  5 2 610.00 2867.61 3658.09 70.00 30.00 0.00 | -1 -1 -1 -1 -1 75 1 -1 -1.00 |  21.87 -1.00 -1.00 -1.00 |  259.50 1479.00 235.50 1191.00 282.50 425.00
98 13 1 40.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 0.80 |  12.53 -1.00 -1.00 -1.00 |  306.50 6225.00 282.50 1429.00 329.50 130.00
100 13 1 40.00 |  5 2 550.00 2585.55 385.84 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 0.80 |  130.85 -1.00 -1.00 -1.00 |  23.50 142.00 259.50 128.00 235.50 121.00
106 13 1 40.00 |  5 2 600.00 2820.60 2514.48 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  22.60 -1.00 -1.00 -1.00 |  259.50 1000.00 235.50 768.00 282.50 351.00
108 13 1 40.00 |  5 2 620.00 2914.62 5321.84 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  21.05 -1.00 -1.00 -1.00 |  259.50 2350.00 282.50 1220.00 235.50 1180.00
110 13 1 40.00 |  5 2 640.00 3008.64 11263.57 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  16.20 -1.00 -1.00 -1.00 |  282.50 4247.00 305.50 1745.00 258.50 1276.00
112 13 1 40.00 |  5 2 660.00 3102.66 23839.10 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  16.15 -1.00 -1.00 -1.00 |  282.50 1772.00 259.50 787.00 306.50 335.00
114 13 1 40.00 |  5 2 680.00 3196.68 50454.96 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  13.64 -1.00 -1.00 -1.00 |  282.50 1948.00 306.50 1203.00 259.50 143.00
116 13 1 40.00 |  5 2 700.00 3290.70 106786.88 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  12.88 -1.00 -1.00 -1.00 |  306.50 2073.00 282.50 1220.00 259.50 47.00
118 13 1 40.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  11.41 -1.00 -1.00 -1.00 |  306.50 2438.00 282.50 797.00 259.50 38.00
120 13 1 41.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  11.51 -1.00 -1.00 -1.00 |  307.50 2426.00 283.50 846.00 260.50 38.00
122 13 1 39.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  10.75 -1.00 -1.00 -1.00 |  305.50 2634.00 281.50 590.00 328.50 64.00
124 13 1 39.00 |  5 2 690.00 3243.69 73402.58 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  13.38 -1.00 -1.00 -1.00 |  305.50 1787.00 281.50 1450.00 258.50 71.00
127 13 1 20.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  12.93 -1.00 -1.00 -1.00 |  310.50 1882.00 287.50 1470.00 263.50 51.00
128 13 1 22.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  12.76 -1.00 -1.00 -1.00 |  289.50 1694.00 312.50 1440.00 265.50 65.00
131 13 1 24.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  13.23 -1.00 -1.00 -1.00 |  291.50 1920.00 314.50 1295.00 267.50 84.00
132 13 1 26.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  12.29 -1.00 -1.00 -1.00 |  293.50 2241.00 316.50 934.00 269.50 113.00
135 13 1 28.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  12.11 -1.00 -1.00 -1.00 |  295.50 2388.00 318.50 805.00 271.50 140.00
136 13 1 30.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  11.72 -1.00 -1.00 -1.00 |  297.50 2522.00 320.50 636.00 273.50 179.00
139 13 1 32.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  11.11 -1.00 -1.00 -1.00 |  298.50 2641.00 322.50 456.00 275.50 222.00
140 13 1 34.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  9.98 -1.00 -1.00 -1.00 |  301.50 2883.00 277.50 348.00 324.50 189.00
143 13 1 36.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  10.12 -1.00 -1.00 -1.00 |  302.50 2819.00 278.50 411.00 326.50 136.00
144 13 1 38.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  10.12 -1.00 -1.00 -1.00 |  304.50 2727.00 281.50 521.00 328.50 78.00
150 13 1 40.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  10.70 -1.00 -1.00 -1.00 |  306.50 2631.00 282.50 691.00 329.50 40.00
152 13 1 42.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  8.25 -1.00 -1.00 -1.00 |  307.50 3076.00 284.50 350.00 331.50 36.00
154 13 1 42.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  11.33 -1.00 -1.00 -1.00 |  308.50 2445.00 284.50 890.00 261.50 33.00
155 13 1 44.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  11.91 -1.00 -1.00 -1.00 |  310.50 2079.00 286.50 997.00 262.50 36.00
157 13 1 46.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  13.14 -1.00 -1.00 -1.00 |  311.50 1710.00 288.50 1295.00 265.50 58.00
159 13 1 48.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  12.89 -1.00 -1.00 -1.00 |  290.50 1665.00 313.50 1464.00 266.50 54.00
161 13 1 50.00 |  5 2 710.00 3337.71 155355.03 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  12.78 -1.00 -1.00 -1.00 |  292.50 1876.00 315.50 1187.00 268.50 70.00
163 13 1 20.00 |  5 2 690.00 3243.69 73402.58 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  13.07 -1.00 -1.00 -1.00 |  287.50 1937.00 311.50 1106.00 263.50 109.00
166 13 0 -1.00 |  5 2 550.00 2585.55 385.84 70.00 30.00 0.00 | -1 -1 -1 -1 -1 75 1 -1 1.60 |  25.87 29.59 28.68 24.84 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
169 13 0 -1.00 |  5 2 570.00 2679.57 816.63 70.00 30.00 0.00 | -1 -1 -1 -1 -1 75 1 -1 1.60 |  24.54 25.63 24.56 23.45 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
170 13 0 -1.00 |  5 2 590.00 2773.59 1728.39 70.00 30.00 0.00 | -1 -1 -1 -1 -1 75 1 -1 1.60 |  23.51 23.53 22.38 22.37 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
