Run Beam Mode DLY | iEta iPhi Imon VDrift Gain f_Ar f_CO f_CF4 | IPreAmpI IPreAmpF IPreAmpO IShaper IShaperFeed IComp MSPL Lat Thresh | Sigma_Histo Sigma_Gaus Sigma_Cont Sigma_Num | Pk1_Pos Pk1_Int Pk2_Pos Pk2_Int Pk3_Pos Pk3_Int
1706 211 1 16.00 |  5 2 691.00 3248.39 413.40 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  19.92 -1.00 -1.00 -1.00 |  297.50 302.00 321.50 180.00 274.50 145.00
1709 211 1 20.00 |  5 2 691.00 3248.39 413.40 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  19.97 -1.00 -1.00 -1.00 |  301.50 282.00 277.50 183.00 324.50 123.00
1710 211 1 24.00 |  5 2 691.00 3248.39 413.40 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  22.07 -1.00 -1.00 -1.00 |  305.50 252.00 281.50 193.00 328.50 79.00
1740 211 1 0.00 |  5 2 715.00 3361.22 786.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  22.04 -1.00 -1.00 -1.00 |  306.50 972.00 282.50 753.00 329.50 267.00
1741 211 1 4.00 |  5 2 715.00 3361.22 786.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  23.55 -1.00 -1.00 -1.00 |  286.50 886.00 309.50 884.00 333.50 190.00
1742 211 1 8.00 |  5 2 715.00 3361.22 786.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  26.20 -1.00 -1.00 -1.00 |  289.50 934.00 313.50 762.00 266.50 233.00
1743 211 1 12.00 |  5 2 715.00 3361.22 786.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  25.90 -1.00 -1.00 -1.00 |  293.50 980.00 317.50 644.00 270.50 337.00
1744 211 1 16.00 |  5 2 715.00 3361.22 786.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  28.41 -1.00 -1.00 -1.00 |  297.50 1000.00 321.50 520.00 274.50 439.00
1745 211 1 20.00 |  5 2 715.00 3361.22 786.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  29.16 -1.00 -1.00 -1.00 |  301.50 1003.00 277.50 587.00 324.50 383.00
1746 211 1 24.00 |  5 2 715.00 3361.22 786.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  25.73 -1.00 -1.00 -1.00 |  305.50 950.00 281.50 725.00 328.50 327.00
1761 211 1 0.00 |  5 2 736.00 3459.94 1380.06 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  30.82 -1.00 -1.00 -1.00 |  306.50 2683.00 282.50 1354.00 329.50 660.00
1762 211 1 4.00 |  5 2 736.00 3459.94 1380.06 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  27.20 -1.00 -1.00 -1.00 |  309.50 2460.00 286.50 1691.00 333.50 489.00
1763 211 1 8.00 |  5 2 736.00 3459.94 1380.06 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  25.05 -1.00 -1.00 -1.00 |  313.50 2218.00 290.50 1987.00 337.50 322.00
1764 211 1 12.00 |  5 2 736.00 3459.94 1380.06 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  29.62 -1.00 -1.00 -1.00 |  293.50 2330.00 317.50 1823.00 270.50 439.00
1765 211 1 16.00 |  5 2 736.00 3459.94 1380.06 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  29.07 -1.00 -1.00 -1.00 |  297.50 2487.00 321.50 1417.00 274.50 695.00
1766 211 1 20.00 |  5 2 736.00 3459.94 1380.06 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  31.49 -1.00 -1.00 -1.00 |  301.50 2669.00 324.50 1121.00 277.50 890.00
1767 211 1 24.00 |  5 2 736.00 3459.94 1380.06 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  30.90 -1.00 -1.00 -1.00 |  305.50 2700.00 281.50 1264.00 328.50 695.00
1772 13 1 20.00 |  5 2 691.00 3248.39 413.40 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  18.46 -1.00 -1.00 -1.00 |  301.50 276.00 277.50 191.00 324.50 91.00
1773 13 1 24.00 |  5 2 691.00 3248.39 413.40 45.00 15.00 40.00 | -1 -1 -1 -1 -1 75 1 -1 1.20 |  18.64 -1.00 -1.00 -1.00 |  305.50 268.00 281.50 225.00 328.50 62.00
1777 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 30 4 -1 1.20 |  11.33 11.22 8.56 8.74 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1781 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 40 4 -1 1.20 |  10.99 10.81 8.07 8.30 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1785 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 50 4 -1 1.20 |  10.90 10.64 7.88 8.17 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1789 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 60 4 -1 1.20 |  10.75 10.63 7.85 7.97 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1793 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 70 4 -1 1.20 |  10.69 10.47 7.61 7.89 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1797 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 80 4 -1 1.20 |  10.77 10.54 7.71 8.00 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1801 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 90 4 -1 1.20 |  10.76 10.60 7.79 7.99 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1805 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 100 4 -1 1.20 |  10.80 10.44 7.54 8.04 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1809 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 110 4 -1 1.20 |  11.14 10.57 7.62 8.49 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1813 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 120 4 -1 1.20 |  17.43 10.43 7.57 15.87 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1817 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 130 4 -1 1.20 |  35.97 10.54 7.59 35.22 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1821 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 140 4 -1 1.20 |  64.59 224.72 7.91 64.14 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1825 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 -1 4 -1 1.20 |  10.71 10.66 7.82 7.91 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1829 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 -1 4 -1 1.20 |  10.68 10.52 7.68 7.87 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1833 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 -1 4 -1 1.20 |  10.66 10.41 7.52 7.85 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1837 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 -1 4 -1 1.20 |  10.72 10.45 7.56 7.92 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1841 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 -1 4 -1 1.20 |  10.77 10.64 7.85 8.00 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1845 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 -1 4 -1 1.20 |  10.69 10.46 7.59 7.89 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1849 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 -1 4 -1 1.20 |  10.88 10.56 7.70 8.14 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1853 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 -1 4 -1 1.20 |  10.71 10.52 7.70 7.91 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1857 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 -1 4 -1 1.20 |  10.83 10.68 7.81 8.08 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1861 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 -1 4 -1 1.20 |  10.70 10.55 7.70 7.90 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1865 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 -1 4 -1 1.20 |  10.68 10.54 7.64 7.87 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1869 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 -1 4 -1 1.20 |  10.71 10.46 7.61 7.91 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1873 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 -1 4 -1 1.20 |  10.77 10.61 7.83 7.99 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1877 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 -1 4 -1 1.20 |  10.66 10.50 7.68 7.85 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1881 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 -1 4 -1 1.20 |  10.71 10.63 7.79 7.91 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1885 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 -1 4 -1 1.20 |  10.87 10.66 7.84 8.13 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
1889 13 0 -1.00 |  5 2 819.00 3850.12 12750.29 45.00 15.00 40.00 | -1 -1 -1 -1 -1 -1 4 -1 1.20 |  10.69 10.45 7.54 7.89 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
